role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Co–defensive coordinator/linebackers,co-defensive coordinator/linebackers,Coordinator,Defensive Coordinator,,
Co–defensive coordinator/secondary,co-defensive coordinator/secondary,Coordinator,Defensive Coordinator,,
Defensive coordinator,defensive coordinator,Coordinator,Defensive Coordinator,,
Defensive Coordinator,defensive coordinator,Coordinator,Defensive Coordinator,,
Defensive Coordinator / Linebackers,defensive coordinator / linebackers,Coordinator,Defensive Coordinator,,
Defensive coordinator / linebackers,defensive coordinator / linebackers,Coordinator,Defensive Coordinator,,
Defensive coordinator / linebackers coach,defensive coordinator / linebackers coach,Coordinator,Defensive Coordinator,,
Defensive Coordinator/Defensive Backs,defensive coordinator/defensive backs,Coordinator,Defensive Coordinator,,
Defensive coordinator/defensive backs,defensive coordinator/defensive backs,Coordinator,Defensive Coordinator,,
Defensive coordinator/Defensive Backs,defensive coordinator/defensive backs,Coordinator,Defensive Coordinator,,
Defensive Coordinator/Defensive backs,defensive coordinator/defensive backs,Coordinator,Defensive Coordinator,,
Defensive coordinator/defensive backs/secondary,defensive coordinator/defensive backs/secondary,Coordinator,Defensive Coordinator,,
Defensive coordinator/defensive line,defensive coordinator/defensive line,Coordinator,Defensive Coordinator,,
Defensive coordinator/Defensive Line,defensive coordinator/defensive line,Coordinator,Defensive Coordinator,,
Defensive Coordinator/Defensive Line,defensive coordinator/defensive line,Coordinator,Defensive Coordinator,,
Defensive coordinator/Defensive line,defensive coordinator/defensive line,Coordinator,Defensive Coordinator,,
Defensive coordinator/Inside Linebackers,defensive coordinator/inside linebackers,Coordinator,Defensive Coordinator,,
Defensive coordinator/inside linebackers,defensive coordinator/inside linebackers,Coordinator,Defensive Coordinator,,
Defensive Coordinator/Linebackers,defensive coordinator/linebackers,Coordinator,Defensive Coordinator,,
Defensive coordinator/linebackers,defensive coordinator/linebackers,Coordinator,Defensive Coordinator,,
Defensive coordinator/Linebackers,defensive coordinator/linebackers,Coordinator,Defensive Coordinator,,
Defensive coordinator/outside linebackers,defensive coordinator/outside linebackers,Coordinator,Defensive Coordinator,,
Defensive coordinator/Outside linebackers,defensive coordinator/outside linebackers,Coordinator,Defensive Coordinator,,
Defensive coordinator/secondary,defensive coordinator/secondary,Coordinator,Defensive Coordinator,,
Defensive coordinator/Secondary,defensive coordinator/secondary,Coordinator,Defensive Coordinator,,
Defensive coordinatorr/Linebackers,defensive coordinatorr/linebackers,Coordinator,Defensive Coordinator,,
Interim defensive coordinator,interim defensive coordinator,Coordinator,Defensive Coordinator,,
