role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Vice president of football operations & strategy,vice president of football operations & strategy,General Manager,VP Football Operations,,,Both
Vice president of football operations and compliance,vice president of football operations and compliance,General Manager,VP Football Operations,,,Both
Vice president of football operations and strategy,vice president of football operations and strategy,General Manager,VP Football Operations,,,Both
Vice president of football operations/player personnel,vice president of football operations/player personnel,General Manager,VP Football Operations,,,Both
Vice president of football operations/Team counsel,vice president of football operations/team counsel,General Manager,VP Football Operations,,,Both
Vice president of football operations/team counsel,vice president of football operations/team counsel,General Manager,VP Football Operations,,,Both
Vice president of player personnel,vice president of player personnel,General Manager,VP Football Operations,,,Both
Vice President of Player Personnel,vice president of player personnel,General Manager,VP Football Operations,,,Both
Vice President of player personnel,vice president of player personnel,General Manager,VP Football Operations,,,Both
Vice president of player personnel process and development,vice president of player personnel process and development,General Manager,VP Football Operations,,,Both
Vice president player personnel,vice president player personnel,General Manager,VP Football Operations,,,Both
"Vice president, football administration","vice president, football administration",General Manager,VP Football Operations,,,Both
"Vice president, football operations","vice president, football operations",General Manager,VP Football Operations,,,Both
"Vice President, Football Operations","vice president, football operations",General Manager,VP Football Operations,,,Both
"Vice president, player personnel","vice president, player personnel",General Manager,VP Football Operations,,,Both
Vice president/director of football operations,vice president/director of football operations,General Manager,VP Football Operations,,,Both
VP of development/football administration,vp of development/football administration,General Manager,VP Football Operations,,,Both
VP of football administration,vp of football administration,General Manager,VP Football Operations,,,Both
VP of Football Administration,vp of football administration,General Manager,VP Football Operations,,,Both
VP of Football Operation and Compliance,vp of football operation and compliance,General Manager,VP Football Operations,,,Both
VP of player personnel,vp of player personnel,General Manager,VP Football Operations,,,Both
VP of Player Personnel,vp of player personnel,General Manager,VP Football Operations,,,Both
VP player personnel,vp player personnel,General Manager,VP Football Operations,,,Both
"VP, player personnel","vp, player personnel",General Manager,VP Football Operations,,,Both
Consultant to the head coach,consultant to the head coach,Head Coach,Head Coach,,,Both
Director of football / head coach administration,director of football / head coach administration,Head Coach,Head Coach,,,Both
Director of football/head coach administration,director of football/head coach administration,Head Coach,Head Coach,,,Both
Executive vice president of football operations/general manager/head coach,executive vice president of football operations/general manager/head coach,Head Coach,Head Coach,,,Both
Executive vice president of football operations/head coach,executive vice president of football operations/head coach,Head Coach,Head Coach,,,Both
Executive Vice president of football operations/head coach,executive vice president of football operations/head coach,Head Coach,Head Coach,,,Both
Executive vice president/general manager/head coach,executive vice president/general manager/head coach,Head Coach,Head Coach,,,Both
Executive vice president/head coach,executive vice president/head coach,Head Coach,Head Coach,,,Both
general manager/Head Coach,general manager/head coach,Head Coach,Head Coach,,,Both
General manager/head coach,general manager/head coach,Head Coach,Head Coach,,,Both
Head coach,head coach,Head Coach,Head Coach,,,Both
Head Coach,head coach,Head Coach,Head Coach,,,Both
Head coach / Quarterbacks,head coach / quarterbacks,Head Coach,Head Coach,,,Both
Head coach and director of football operations,head coach and director of football operations,Head Coach,Head Coach,,,Both
Head coach and General Manager,head coach and general manager,Head Coach,Head Coach,,,Both
Head coach and president of football operations,head coach and president of football operations,Head Coach,Head Coach,,,Both
Head coach research specialist,head coach research specialist,Head Coach,Head Coach,,,Both
Head coach/defensive coordinator,head coach/defensive coordinator,Head Coach,Head Coach,,,Both
Head coach/director of football operations,head coach/director of football operations,Head Coach,Head Coach,,,Both
